City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Jamestown,US,80.29,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
7,Bethel,US,85.19,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
16,Morehead,US,80.35,clear sky,37.2711,-87.1764,CCI Express Inn
26,Buchanan,LR,76.96,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
27,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
28,Sabha,LY,88.86,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
30,The Valley,AI,87.94,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
31,San Quintin,MX,78.1,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
33,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
42,Shelburne,CA,84.76,clear sky,44.0787,-80.2041,The Retreat at the Farm
43,Maragogi,BR,78.39,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
45,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
49,Atuona,PF,77.94,clear sky,-9.8,-139.0333,Villa Enata
51,Butaritari,KI,82.83,moderate rain,3.0707,172.7902,Isles Sunset Lodge
56,Miri,MY,78.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
60,Bambanglipuro,ID,75.22,broken clouds,-7.95,110.2833,Puri Brata
62,Ponta Do Sol,PT,78.71,clear sky,32.6667,-17.1,Hotel do Campo
64,Bubaque,GW,81.46,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
66,Touros,BR,83.3,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
75,Caravelas,BR,76.89,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
78,Katsuura,JP,80.11,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
81,Teguise,ES,82.62,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
84,San Carlos,VE,87.37,broken clouds,9.6612,-68.5827,Hotel Paternopoli
87,Tecoanapa,MX,86.56,clear sky,16.5167,-98.75,Hotel Manglares
88,Namatanai,PG,77.95,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
89,Harrisonburg,US,86.23,clear sky,38.4496,-78.8689,Hampton Inn Harrisonburg - University
92,Puerto Del Rosario,ES,85.68,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
